"","Year","Avg. Price"
"1",2016-12-09,"Est.$8.61"
"2",2015-12-09,"$8.43"
"3",2014-12-09,"$8.17"
"4",2013-12-09,"$8.13"
"5",2012-12-09,"$7.96"
"6",2011-12-09,"$7.93"
"7",2010-12-09,"$7.89"
"8",2009-12-09,"$7.50"
"9",2008-12-09,"$7.18"
"10",2007-12-09,"$6.88"
"11",2006-12-09,"$6.55"
"12",2005-12-09,"$6.41"
"13",2004-12-09,"$6.21"
"14",2003-12-09,"$6.03"
"15",2002-12-09,"$5.81"
"16",2001-12-09,"$5.66"
"17",2000-12-09,"$5.39"
"18",1999-12-09,"$5.08"
"19",1998-12-09,"$4.69"
"20",1997-12-09,"$4.59"
"21",1996-12-09,"$4.42"
"22",1995-12-09,"$4.35"
"23",1994-12-09,"$4.18"
"24",1993-12-09,"$4.14"
"25",1992-12-09,"$4.15"
"26",1991-12-09,"$4.21"
"27",1990-12-09,"$4.23"
"28",1989-12-09,"$3.97"
"29",1988-12-09,"$4.11"
"30",1987-12-09,"$3.91"
"31",1986-12-09,"$3.71"
"32",1985-12-09,"$3.55"
"33",1984-12-09,"$3.36"
"34",1983-12-09,"$3.15"
"35",1982-12-09,"$2.94"
"36",1981-12-09,"$2.78"
"37",1980-12-09,"$2.69"
"38",1979-12-09,"$2.51"
"39",1978-12-09,"$2.34"
"40",1977-12-09,"$2.23"
"41",1976-12-09,"$2.13"
"42",1975-12-09,"$2.05"
"43",1974-12-09,"$1.87"
"44",1973-12-09,"$1.77"
"45",1972-12-09,"$1.70"
"46",1971-12-09,"$1.65"
"47",1970-12-09,"$1.55"
"48",1969-12-09,"$1.42"
"49",1968-12-09,"$1.31"
"50",1967-12-09,"$1.20"
"51",1966-12-09,"$1.09"
"52",1965-12-09,"$1.01"
"53",1964-12-09,"$0.93"
"54",1963-12-09,"$0.85"
"55",1962-12-09,"$0.70"
"56",1961-12-09,"$0.69"
"57",1959-12-09,"$0.51"
"58",1956-12-09,"$0.50"
"59",1954-12-09,"$0.45"
"60",1953-12-09,"$0.60"
"61",1951-12-09,"$0.53"
"62",1949-12-09,"$0.46"
"63",1948-12-09,"$0.40"
"64",1945-12-09,"$0.35"
"65",1944-12-09,"$0.32"
"66",1943-12-09,"$0.29"
"67",1942-12-09,"$0.27"
"68",1941-12-09,"$0.25"
"69",1940-12-09,"$0.24"
"70",1939-12-09,"$0.23"
"71",1936-12-09,"$0.25"
"72",1935-12-09,"$0.24"
"73",1934-12-09,"$0.23"
"74",1929-12-09,"$0.35"
"75",1924-12-09,"$0.25"
"76",1910-12-09,"$0.07"
