Year,Avg. Price
2016-12-09,8.61
2015-12-09,8.43
2014-12-09,8.17
2013-12-09,8.13
2012-12-09,7.96
2011-12-09,7.93
2010-12-09,7.89
2009-12-09,7.50
2008-12-09,7.18
2007-12-09,6.88
2006-12-09,6.55
2005-12-09,6.41
2004-12-09,6.21
2003-12-09,6.03
2002-12-09,5.81
2001-12-09,5.66
2000-12-09,5.39
1999-12-09,5.08
1998-12-09,4.69
1997-12-09,4.59
1996-12-09,4.42
1995-12-09,4.35
1994-12-09,4.18
1993-12-09,4.14
1992-12-09,4.15
1991-12-09,4.21
1990-12-09,4.23
1989-12-09,3.97
1988-12-09,4.11
1987-12-09,3.91
1986-12-09,3.71
1985-12-09,3.55
1984-12-09,3.36
1983-12-09,3.15
1982-12-09,2.94
1981-12-09,2.78
1980-12-09,2.69
1979-12-09,2.51
1978-12-09,2.34
1977-12-09,2.23
1976-12-09,2.13
1975-12-09,2.05
1974-12-09,1.87
1973-12-09,1.77
1972-12-09,1.70
1971-12-09,1.65
1970-12-09,1.55
1969-12-09,1.42
1968-12-09,1.31
1967-12-09,1.20
1966-12-09,1.09
1965-12-09,1.01
1964-12-09,0.93
1963-12-09,0.85
1962-12-09,0.70
1961-12-09,0.69
1959-12-09,0.51
1956-12-09,0.50
1954-12-09,0.45
1953-12-09,0.60
1951-12-09,0.53
1949-12-09,0.46
1948-12-09,0.40
1945-12-09,0.35
1944-12-09,0.32
1943-12-09,0.29
1942-12-09,0.27
1941-12-09,0.25
1940-12-09,0.24
1939-12-09,0.23
1936-12-09,0.25
1935-12-09,0.24
1934-12-09,0.23
1929-12-09,0.35
1924-12-09,0.25
1910-12-09,0.07
